,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
56272,CC1(C)OC(=O)C(=Cc2ccccc2Cl)C(=O)O1,CC1(C)OC(=O)C(=Cc2ccccc2Cl)C(=O)O1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15185,O=C1CC(C(=O)O)O1,O=C1CC(C(=O)O)O1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25833,Cc1nc(O)c(F)c(O)n1,Cc1nc(O)c(F)c(O)n1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
22697,COC1CCC=CO1,COC1CCC=CO1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60862,CCOC(=O)C=C(C)COc1cccc(Br)c1C=O,CCOC(=O)C=C(C)COc1cccc(Br)c1C=O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58040,C=CCCCCCCCCC[Si](OCC)(OCC)OCC,C=CCCCCCCCCC[Si](OCC)(OCC)OCC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76577,C[Si](C)(C)C#Cc1ncc(Br)cc1C#N,C[Si](C)(C)C#Cc1ncc(Br)cc1C#N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64764,COc1ccc(C(=O)C=Cc2ccc(OC)c(OC(=O)c3ccc(Cl)cc3)c2)cc1OC,COc1ccc(C(=O)C=Cc2ccc(OC)c(OC(=O)c3ccc(Cl)cc3)c2)cc1OC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
811,O=Cc1c(Br)sc(Br)c1C=O,O=Cc1c(Br)sc(Br)c1C=O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76026,C#Cc1cccc(OC)c1,C#Cc1cccc(OC)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13581,O=S1CCOCC1,O=S1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6454,O=CCCc1ccc(Br)c(Br)c1,O=CCCc1ccc(Br)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51458,CC1(C)OCC(C=CC=O)O1,CC1(C)OCC(C=CC=O)O1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38758,COC(=O)C(C#N)=Cc1ccc(Cl)cc1,COC(=O)C(C#N)=Cc1ccc(Cl)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
