,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
14776,CC1(C)OB(CN2CCOCC2)OC1(C)C,CC1(C)OB(CN2CCOCC2)OC1(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14777,c1ccc(COCC2OC2COCc2ccccc2)cc1,c1ccc(COCC2OC2COCc2ccccc2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14778,O=C1OC(=O)C2CC3=C(CC12)C1c2ccccc2C3c2ccccc21,O=C1OC(=O)C2CC3=C(CC12)C1c2ccccc2C3c2ccccc21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14779,COC(=O)C1OC1C(=O)OC,COC(=O)C1OC1C(=O)OC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14780,CCC1CCC(=O)O1,CCC1CCC(=O)O1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14781,CC1(C)OB(C2C=CC=CO2)OC1(C)C,CC1(C)OB(C2C=CC=CO2)OC1(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14782,CC(C)(C)C(=O)N=C1COC1,CC(C)(C)C(=O)N=C1COC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14783,c1ccc(CN(Cc2ccccc2)CC2CO2)cc1,c1ccc(CN(Cc2ccccc2)CC2CO2)cc1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14784,N#CC1OCCC1C(=O)O,N#CC1OCCC1C(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14785,CC1(C)CC(N)CC(C)(C)O1,CC1(C)CC(N)CC(C)(C)O1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14786,O=C(O)C1CCCOCC1,O=C(O)C1CCCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14787,O=C(O)C1CCCOC1,O=C(O)C1CCCOC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14788,O=c1[nH]cnc2c1COC2,O=c1[nH]cnc2c1COC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14789,O=C1CC(c2ccccc2)C(=O)O1,O=C1CC(c2ccccc2)C(=O)O1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14790,O=C1OC(=Cc2ccc(Cl)cc2)c2ccccc21,O=C1OC(=Cc2ccc(Cl)cc2)c2ccccc21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
