No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
36,O=C(Cl)c1ccc(C(=O)Cl)s1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(*)=O)s4)cc3)cc2)cc1,polyamide,0.425 
37,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,polyamide,0.423 
38,O=C=NCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCNC(*)=O,polyurethane,0.422 
39,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(OCC(*)=O)cc4)cc3)cc2)cc1,polyamide,0.419 
40,O=C(Cl)c1ccc2cc(C(=O)Cl)ccc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4cc(C(*)=O)ccc4c3)cc2)cc1,polyamide,0.415 
41,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)[nH]1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)[nH]1,polyamide,0.414 
42,O=C=NCc1ccccc1CN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCc1ccccc1CNC(*)=O,polyurethane,0.413 
43,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.413 
44,O=C(O)c1ccc2ccc(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc5ccc(C(*)=O)cc5c4)cc3)cc2)cc1,polyamide,0.412 
45,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)c2[nH]ccc12,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(*)=O)cc3)cc2)c2cc[nH]c12,polyamide,0.410 
46,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc(N)[nH]1,*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)[nH]1,polyamide,0.408 
